Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,point.x,point.y,point.z
1574431780.7016346,7584,1574431780,700828075,,-7.2,0.0,0.0
1574431780.7489848,7585,1574431780,748490095,,-7.2,0.0,0.0
1574431780.8142476,7586,1574431780,812625885,,-7.2,0.0,0.0
1574431780.8620193,7587,1574431780,861056089,,-7.2,0.0,0.0
1574431780.9097352,7588,1574431780,909075975,,-7.2,0.0,0.0
1574431780.9579701,7589,1574431780,956701993,,-7.2,0.0,0.0
1574431781.0059814,7590,1574431781,5177021,,-7.2,0.0,0.0
1574431781.054029,7591,1574431781,53021907,,-7.2,0.0,0.0
1574431781.1072018,7592,1574431781,101516962,,-7.2,0.0,0.0
1574431781.1499662,7593,1574431781,149197101,,-7.2,0.0,0.0
1574431781.2134364,7594,1574431781,212914943,,-7.2,0.0,0.0
1574431781.2615023,7595,1574431781,260727882,,-7.2,0.0,0.0
1574431781.3095803,7596,1574431781,308847904,,-7.2,0.0,0.0
1574431781.3578646,7597,1574431781,356870889,,-7.2,0.0,0.0
1574431781.405519,7598,1574431781,404799938,,-7.2,0.0,0.0
1574431781.4541457,7599,1574431781,452963113,,-7.2,0.0,0.0
1574431781.5017545,7600,1574431781,501135110,,-7.2,0.0,0.0
1574431781.565497,7601,1574431781,564816951,,-7.2,0.0,0.0
1574431781.613933,7602,1574431781,612994909,,-7.2,0.0,0.0
1574431781.662225,7603,1574431781,661151885,,-7.2,0.0,0.0
1574431781.7100198,7604,1574431781,709136962,,-7.2,0.0,0.0
1574431781.758493,7605,1574431781,757028102,,-7.2,0.0,0.0
1574431781.8069232,7606,1574431781,805429935,,-7.2,0.0,0.0
1574431781.8537297,7607,1574431781,853187084,,-7.2,0.0,0.0
1574431781.9018838,7608,1574431781,901110887,,-7.2,0.0,0.0
1574431781.9684038,7609,1574431781,964976072,,-7.2,0.0,0.0
1574431782.0143347,7610,1574431782,13325929,,-7.2,0.0,0.0
1574431782.0614846,7611,1574431782,61022043,,-7.2,0.0,0.0
1574431782.1102164,7612,1574431782,109246015,,-7.2,0.0,0.0
1574431782.1583958,7613,1574431782,157244920,,-7.2,0.0,0.0
1574431782.2058096,7614,1574431782,205394029,,-7.2,0.0,0.0
1574431782.2539494,7615,1574431782,253478050,,-7.2,1.404,0.0
1574431782.3184087,7616,1574431782,317878961,,-7.2,0.0,0.0
1574431782.3660636,7617,1574431782,365602016,,-7.2,0.0,0.0
1574431782.4137125,7618,1574431782,413347005,,-7.2,0.0,0.0
1574431782.461619,7619,1574431782,461211919,,-7.2,0.0,0.0
1574431782.5100982,7620,1574431782,509196996,,-7.2,0.0,0.0
1574431782.5588026,7621,1574431782,557559967,,-7.2,0.0,0.0
1574431782.6064613,7622,1574431782,605561017,,-7.2,0.0,0.0
1574431782.671154,7623,1574431782,669318914,,-7.2,0.0,0.0
1574431782.71843,7624,1574431782,717786073,,-7.2,0.0,0.0
1574431782.7736454,7625,1574431782,765897989,,-7.2,0.0,0.0
1574431782.8141677,7626,1574431782,813523054,,-7.171428571428572,0.0,0.0
1574431782.8621492,7627,1574431782,861656904,,-7.171428571428572,0.0,0.0
1574431782.9117131,7628,1574431782,909755945,,-7.171428571428572,0.0,0.0
1574431782.958782,7629,1574431782,957693099,,-7.171428571428572,0.0,0.0
1574431783.0066566,7630,1574431783,5763053,,-7.171428571428572,0.0,0.0
1574431783.0698855,7631,1574431783,69432973,,-7.1571428571428575,0.0,0.0
1574431783.1201713,7632,1574431783,118052959,,-7.1571428571428575,0.0,0.0
1574431783.1661093,7633,1574431783,165641069,,-7.1571428571428575,0.0,0.0
1574431783.2141294,7634,1574431783,213735103,,-7.1571428571428575,0.0,0.0
1574431783.2623155,7635,1574431783,261704921,,-7.128571428571429,0.0,0.0
1574431783.3109403,7636,1574431783,309829950,,-6.985714285714286,0.0,0.0
1574431783.3587642,7637,1574431783,357831954,,-6.757142857142857,0.0,0.0
1574431783.4232914,7638,1574431783,422437906,,-6.542857142857143,0.0,0.0
1574431783.4705412,7639,1574431783,469820022,,-6.3428571428571425,0.0,0.0
1574431783.5187693,7640,1574431783,518001079,,-6.285714285714286,0.0,0.0
1574431783.56688,7641,1574431783,565856933,,-6.285714285714286,0.0,0.0
1574431783.615216,7642,1574431783,614151000,,-6.285714285714286,0.0,0.0
1574431783.6625674,7643,1574431783,661885976,,-6.285714285714286,0.0,0.0
1574431783.710666,7644,1574431783,709996938,,-6.257142857142857,0.0,0.0
1574431783.7588387,7645,1574431783,758002042,,-6.257142857142857,0.0,0.0
1574431783.8230429,7646,1574431783,822297096,,-6.257142857142857,0.0,0.0
1574431783.870444,7647,1574431783,869910001,,-6.257142857142857,0.0,0.0
1574431783.9188511,7648,1574431783,917970895,,-6.257142857142857,0.0,0.0
1574431783.9671957,7649,1574431783,965984106,,-6.257142857142857,0.0,0.0
1574431784.0152588,7650,1574431784,14107942,,-6.257142857142857,0.0,0.0
1574431784.0621462,7651,1574431784,61850070,,-6.257142857142857,0.0,0.0
1574431784.110685,7652,1574431784,110188007,,-6.242857142857143,0.0,0.0
1574431784.1747434,7653,1574431784,174007892,,-6.214285714285714,0.0,0.0
1574431784.2231288,7654,1574431784,222207069,,-6.2,0.0,0.0
1574431784.2702403,7655,1574431784,269872903,,-6.2,0.0,0.0
1574431784.3188694,7656,1574431784,318150997,,-6.2,0.0,0.0
1574431784.3673346,7657,1574431784,366096019,,-6.2,0.0,0.0
1574431784.4162087,7658,1574431784,414695024,,-6.2,0.0,0.0
1574431784.463866,7659,1574431784,462739944,,-6.2,0.0,0.0
